WID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Mean,Class
6142601.0,1.0,0.937970080762296,1.0,1.0,1.0,1.0,1.0,0.2622849760439082,1.0,1.0,1.0,1.0,1.0,1.0,0.4139950549213017,0.7117023882183967,0.7374026259288574,1.0,1.0,1.0,0.8422557132115447,0.9257468291719776,0.999802296182828,0.5405595896952363,0.092845677159246,0.8585826092518235,SD
6142620.0,0.9966707008806226,0.9358222400677856,1.0,1.0,1.0,1.0,1.0,0.5321212058773279,0.9423282504186096,0.9919542450156776,1.0,1.0,0.9931028806844232,1.0,0.596483978704444,0.8838957312668027,0.7705574524171073,1.0,0.9571553453229616,0.9656647681306108,0.7024871472354456,0.8839234432165318,0.8533453374334203,0.7494857595174549,0.363237502589954,0.8847294395511672,SD
6142640.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.711235474212583,1.0,1.0,1.0,1.0,1.0,1.0,0.6919956282653343,1.0,0.9455204403879668,1.0,1.0,1.0,0.9397865187797204,0.9946715115295184,0.9904127571266792,0.8724397751146674,0.3148790152602541,0.9384376448270689,SD
6142660.0,1.0,0.9980681425922434,1.0,1.0,1.0,1.0,1.0,0.6187889555287551,1.0,1.0,1.0,1.0,1.0,1.0,0.6070072051767376,0.9746958212107308,0.8833186533781041,1.0,1.0,1.0,0.9125408643289584,0.9308048891064316,0.953089844541647,0.7851393143698454,0.3061327359844078,0.9187834570487144,SD
6142680.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9518663718407212,1.0,1.0,1.0,1.0,1.0,1.0,0.9922917830096551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9063330775881712,0.994019649297542,SD
6144100.0,1.0,0.9467208882041612,1.0,1.0,1.0,1.0,1.0,0.4145070146779483,1.0,1.0,1.0,1.0,1.0,1.0,0.6506285364812113,0.8578274962952454,0.869929175941024,1.0,1.0,1.0,0.8897479440199868,0.939207004447122,0.9973229821837756,0.6770807556995037,0.2881585987334964,0.901245215867339,SD
6144150.0,1.0,0.8098960740192471,1.0,1.0,1.0,1.0,1.0,0.2797763821964946,1.0,1.0,1.0,1.0,1.0,1.0,0.5679458549603914,0.7970637393917185,0.7604076378030736,1.0,0.957735903271424,1.0,0.7898246948557484,0.783387215356451,0.9729055869833588,0.4669951217461566,0.1728627599902445,0.8543520388229723,SD
6144200.0,1.0,0.7888526124473424,1.0,1.0,1.0,1.0,1.0,0.2690995881256085,0.9370771439618788,0.9871069972027006,0.9986243499810196,1.0,1.0,0.997817363634258,0.4749654457701532,0.7947651101408776,0.6408013015436921,1.0,0.8030153870579785,0.9898514708276334,0.562897334535658,0.6888365905281889,0.9159705064984096,0.3479496485162791,0.1898348630862183,0.8154986285543161,SD
6144300.0,1.0,0.9706505033082766,1.0,1.0,1.0,1.0,1.0,0.5668829775511984,0.9994219875650792,1.0,1.0,1.0,1.0,1.0,0.7475948152000688,0.958826695823314,0.9215565516925966,1.0,0.9895540886665964,1.0,0.9144875462451112,0.9423691108667054,0.9921174888659038,0.7182002670959996,0.4121308912121619,0.9253517169637204,SD
6144350.0,1.0,0.9632022598416916,1.0,1.0,1.0,1.0,1.0,0.5034863614638448,1.0,1.0,1.0,1.0,1.0,1.0,0.683333797705726,0.9330637832099574,0.8625158649260378,1.0,0.9867340337286268,1.0,0.8438514840196356,0.903496313105865,0.9909038002354416,0.5844462416478451,0.2956293098229262,0.9020265299883039,SD
