MRBID,RIVERBASIN,AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,MEAN,CLASS
6201,ANGERMANALVEN,31638.686654434896,71.73204423114531,82.49350193438278,69.0667299394977,69.09831311668108,68.52342229215216,63.40807049730152,80.19962166685478,62.91181093143901,69.02044492558768,86.18689897561391,63.38930163894359,69.91746321885934,76.83163373241982,80.92916752400748,,72.40774461606328,SD
6202,DANUBE,797335.1485306777,18.86904157065165,25.580322057953655,19.073812439469076,11.953748478630638,22.102125771386305,33.03252966670855,22.466361717211736,27.03726675773191,12.63936662510751,16.161203368571062,25.749084537217513,24.940190014827177,19.241005172284115,19.645171427356537,,21.32080211465053,SRD
6203,"DAUGAVA (also ZAPADNAYA DVINA, also ZAKHODNAYA DZVINA)",86019.60958811837,49.88615526389379,60.29129856162697,53.20342771384795,43.7239101750882,45.990322640578384,56.912876667529886,42.375328231339715,43.10452632404765,34.62259865179317,44.72408316934337,55.46314612255726,31.16246973227907,42.6494169510745,40.397426107779715,,46.03621330805568,SD
6204,DNIEPER,511694.73889551475,35.44478998451942,49.01932396807096,30.843155529757283,21.94339516275055,34.84915554425686,46.86519146292863,35.04722803504025,37.040820499478606,28.21265122308192,24.779085997826567,44.00186709005816,35.37761106133509,35.0457129627479,34.201588071412324,,35.190826899518896,SD
6205,DNIESTR,73381.76733741183,27.6537714075951,40.41277822343475,24.365968705989953,15.786080087312875,31.630595985280404,38.7672085706566,29.465160609273624,33.96862822254584,21.379959452956655,18.86846821197167,31.276696935100613,31.05134448447293,26.197416641174367,24.26818558333986,,28.220875937221802,SRD
6206,DON,439141.6576055678,30.863737497839004,47.807688932833074,25.13291029776369,24.017580092576942,31.757620090899,34.4247093638427,33.73941563660129,37.57059626106819,20.1723604827297,22.281746590113332,35.8759947118599,36.9143508052006,25.02348653402131,36.47921735370492,,31.57581533221812,SD
6207,DORDOGNE,23838.024687421144,6.815412284517416,5.802192881595394,4.725144934654724,3.30090172356066,7.639014148644007,9.108662551266312,7.512763796228832,6.842919185988491,6.485563954406618,5.412810075907787,10.50874273607058,9.025360300499834,2.9601318213994494,6.70764791212369,,6.631947736204556,SRD
6208,DOURO (also DUERO),97379.6022855506,2.0729432947644963,3.2517342884330747,2.0499840876583537,1.6039358884245691,4.676534722961395,4.805718785367365,3.756728579777646,4.3551971664044125,6.156785193231019,4.620337907283813,8.313645173250436,3.679290143049499,3.347772036162656,3.3872823640315746,,4.005563545057165,SRD
6209,DRAMSELVA,17269.318518472464,83.07651947704885,51.234978402726526,69.30004028979009,63.65504739668466,50.240733761813985,59.44991484344811,55.35254225310608,57.14117708057089,69.06751784724722,92.73523009042866,53.07136652524734,54.85334886453649,71.69120690700368,69.2784250239749,,64.29628919740198,SD
6210,EBRO,85587.90130788297,6.4425466244104515,4.868470928381314,6.1731008112247405,5.4622788443190675,8.280495543711684,11.33350026626419,8.486271777902628,5.316014780741568,8.898545503799394,6.915637838881654,9.588262707492929,8.354343868804705,4.3649327778612355,7.0971366547721955,,7.2558242091834115,SRD
